RegionName,SizeRank,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
California,1,1.867413632,1.884615385,1.900108578,1.923503326,1.947852761,1.956391876,1.951951952,1.938923897,1.921578545,1.911764706,1.92457247,1.934443847
Texas,2,0.905624404,0.913443202,0.923770597,0.93442623,0.938797366,0.94,0.937320274,0.932044888,0.927643785,0.925253733,0.928143713,0.931802199
New York,3,4.268258427,4.2,3.916666667,4.19,4.307841239,4.042553191,3.897434521,3.474232774,3.246753247,3.100387597,3.142466823,3.521126761
Florida,4,1.318064572,1.324277845,1.33037694,1.342975207,1.34202454,1.333333333,1.335311573,1.349380015,1.353674846,1.348920863,1.354203789,1.358490566
Illinois,5,1.217391304,1.228878648,1.259427006,1.290189248,1.292556278,1.299666589,1.284089539,1.275958533,1.268115942,1.265335378,1.256820995,1.253658537
Pennsylvania,6,1.025641026,1.035106383,1.056810676,1.081730769,1.089038069,1.080455902,1.057449495,1.051269116,1.041666667,1.034161559,1.038062284,1.041666667
Ohio,7,0.830889541,0.833333333,0.85182534,0.87535014,0.875796178,0.882352941,0.87375,0.865051903,0.864485981,0.863161969,0.857142857,0.857279693
Michigan,8,0.934065934,0.939813657,0.979192166,0.992685475,1,1,0.996376812,0.99009901,0.990499459,0.991189427,0.981774252,0.982532751
Georgia,9,0.772066939,0.77606525,0.784937796,0.79787234,0.801282051,0.804289544,0.806451613,0.798453258,0.796178344,0.801282051,0.805322129,0.81300813
North Carolina,10,0.784852682,0.786971189,0.809652684,0.822826642,0.824175824,0.823170732,0.827205882,0.825889163,0.823045267,0.825688073,0.831422018,0.83041958
New Jersey,11,1.417125416,1.43207856,1.459509096,1.473072111,1.488095238,1.49781575,1.482587863,1.449275362,1.426351771,1.417525773,1.423769089,1.431718062
Virginia,12,1.059322034,1.062863551,1.071428571,1.089443394,1.1,1.104071273,1.121174266,1.11143695,1.101190476,1.083096591,1.091008772,1.098484848
Washington,13,1.316455696,1.303059553,1.319148936,1.343627454,1.372788286,1.367702357,1.366320236,1.345384615,1.336141696,1.320754717,1.307922272,1.307575524
